,Credibility Indicator Category,Question Number,Answer Number,Point Recommendation,Credibility Indicator Name,Start,End
76,Evidence,2,1,0,Quality of evidence,2123,2236
77,Evidence,2,2,0,Quality of evidence,2163,2180
92,Evidence,5,2,-0.5,Control condition,2186,2236
126,Probability,5,1,1,Acknowledges uncertainty,2238,2272
79,Evidence,2,4,0,Quality of evidence,2238,2534
79,Evidence,2,4,0,Quality of evidence,2238,2534
130,Probability,7,2,-2,Numeric context,2340,2347
79,Evidence,2,4,0,Quality of evidence,2359,2403
126,Probability,5,1,1,Acknowledges uncertainty,2536,2584
82,Evidence,2,7,0,Quality of evidence,2536,2688
115,Evidence,12,2,1,Open to evidence,2559,2584
82,Evidence,2,7,0,Quality of evidence,2633,2688
126,Probability,5,1,1,Acknowledges uncertainty,2740,2792
126,Probability,5,1,1,Acknowledges uncertainty,2875,2902
127,Probability,5,2,0.5,Acknowledges uncertainty,2894,2902
127,Probability,5,2,0.5,Acknowledges uncertainty,2894,2902
115,Evidence,12,2,1,Open to evidence,2894,2902
115,Evidence,12,2,1,Open to evidence,3030,3035
82,Evidence,2,7,0,Quality of evidence,3129,3195
82,Evidence,2,7,0,Quality of evidence,3129,3316
82,Evidence,2,7,0,Quality of evidence,3129,3195
79,Evidence,2,4,0,Quality of evidence,3197,3307
126,Probability,5,1,1,Acknowledges uncertainty,3246,3253
79,Evidence,2,4,0,Quality of evidence,3318,3528
76,Evidence,2,1,0,Quality of evidence,3375,3384
76,Evidence,2,1,0,Quality of evidence,3375,3528
127,Probability,5,2,0.5,Acknowledges uncertainty,3461,3466
127,Probability,5,2,0.5,Acknowledges uncertainty,3461,3466
126,Probability,5,1,1,Acknowledges uncertainty,3461,3474
150,Probability,12,4,1,Open to evidence,3461,3488
82,Evidence,2,7,0,Quality of evidence,3531,3702
82,Evidence,2,7,0,Quality of evidence,3583,3702
79,Evidence,2,4,0,Quality of evidence,3764,4041
79,Evidence,2,4,0,Quality of evidence,3911,4041
80,Evidence,2,5,0,Quality of evidence,4043,4345
80,Evidence,2,5,0,Quality of evidence,4043,4345
82,Evidence,2,7,0,Quality of evidence,4348,4509
82,Evidence,2,7,0,Quality of evidence,4407,4509
82,Evidence,2,7,0,Quality of evidence,4422,4509
80,Evidence,2,5,0,Quality of evidence,4511,5011
82,Evidence,2,7,0,Quality of evidence,4511,5011
126,Probability,5,1,1,Acknowledges uncertainty,4511,4582
78,Evidence,2,3,0,Quality of evidence,4511,5011
126,Probability,5,1,1,Acknowledges uncertainty,4531,4549
127,Probability,5,2,0.5,Acknowledges uncertainty,4541,4544
133,Probability,7,5,0,Numeric context,4758,4815
133,Probability,7,5,0,Numeric context,4806,4815
133,Probability,7,5,0,Numeric context,4819,4995
130,Probability,7,2,-2,Numeric context,4819,4829
130,Probability,7,2,-2,Numeric context,4819,4829
130,Probability,7,2,-2,Numeric context,4881,4891
130,Probability,7,2,-2,Numeric context,4881,4891
130,Probability,7,2,-2,Numeric context,4962,4972
130,Probability,7,2,-2,Numeric context,4962,4972
127,Probability,5,2,0.5,Acknowledges uncertainty,5401,5406
126,Probability,5,1,1,Acknowledges uncertainty,5401,5406
127,Probability,5,2,0.5,Acknowledges uncertainty,5467,5492
127,Probability,5,2,0.5,Acknowledges uncertainty,5467,5492
126,Probability,5,1,1,Acknowledges uncertainty,5467,5492
149,Probability,12,3,1,Open to evidence,5467,5492
126,Probability,5,1,1,Acknowledges uncertainty,5606,5639
127,Probability,5,2,0.5,Acknowledges uncertainty,5633,5639
82,Evidence,2,7,0,Quality of evidence,5700,5853
127,Probability,5,2,0.5,Acknowledges uncertainty,5755,5768
126,Probability,5,1,1,Acknowledges uncertainty,5755,5789
79,Evidence,2,4,0,Quality of evidence,5855,6096
79,Evidence,2,4,0,Quality of evidence,5859,6096
80,Evidence,2,5,0,Quality of evidence,5954,5975
80,Evidence,2,5,0,Quality of evidence,5954,5975
78,Evidence,2,3,0,Quality of evidence,5954,5975
126,Probability,5,1,1,Acknowledges uncertainty,5960,5975
149,Probability,12,3,1,Open to evidence,5960,5975
127,Probability,5,2,0.5,Acknowledges uncertainty,5968,5975
126,Probability,5,1,1,Acknowledges uncertainty,5995,6037
127,Probability,5,2,0.5,Acknowledges uncertainty,6005,6013
127,Probability,5,2,0.5,Acknowledges uncertainty,6005,6013
82,Evidence,2,7,0,Quality of evidence,6098,6123
82,Evidence,2,7,0,Quality of evidence,6098,6123
63,Reasoning,6,3,-4,Straw Man Argument,6257,6407
82,Evidence,2,7,0,Quality of evidence,6257,6467
82,Evidence,2,7,0,Quality of evidence,6414,6467
82,Evidence,2,7,0,Quality of evidence,6469,6543
127,Probability,5,2,0.5,Acknowledges uncertainty,6478,6486
127,Probability,5,2,0.5,Acknowledges uncertainty,6478,6486
126,Probability,5,1,1,Acknowledges uncertainty,6478,6486
79,Evidence,2,4,0,Quality of evidence,6545,6654
82,Evidence,2,7,0,Quality of evidence,6545,6665
82,Evidence,2,7,0,Quality of evidence,6545,6665
42,Language,12,4,2,Well-balanced,6668,6714
40,Language,12,2,1,Well-balanced,6668,6714
